State Code,County Code,Site Number,Latitude,Longitude,Site Established Date,Site Closed Date,Address,Zip Code,State Name,County Name,City Name
1,1,1,32.437458,-86.472891,5/1/74,12/31/76,"KING ARTHUR TRAILER COURT, PRATTVILLE,AL",36067,Alabama,Autauga,Prattville
1,1,2,32.42847,-86.443585,1/1/80,12/31/82,COUNTY RD 4 PRATTVILLE EXPERIMENT ST,,Alabama,Autauga,Prattville
1,1,3,32.332659,-86.791521,8/31/89,11/30/90,"1170 COUNTY RD.15 SO., SELMA, AL. 36701",36003,Alabama,Autauga,Not in a City
1,3,1,0,0,1/1/59,12/31/59,CHANDLER RESIDENCE FT MORGAN STATE PARK,,Alabama,Baldwin,Not in a city
1,3,2,30.552367,-87.706911,1/1/74,12/31/77,COR PENNSYLVANIA & CHICAGO (ROBERTSDALE),36567,Alabama,Baldwin,Robertsdale
1,3,3,30.555472,-87.713599,8/12/77,12/31/87,"RACINE AND MICHIGAN ST, ROBERTSDALE, AL.",,Alabama,Baldwin,Not in a city
1,3,10,30.497478,-87.880258,1/1/00,,"FAIRHOPE HIGH SCHOOL, 1 PIRATE DRIVE, FAIRHOPE,  ALABAMA",36532,Alabama,Baldwin,Fairhope
1,5,1,31.891272,-85.13521,1/1/74,12/31/94,601 EAST BARBOUR US HGWY 82,,Alabama,Barbour,Eufaula
1,5,2,31.664302,-85.606175,10/6/03,,"437 COUNTY ROAD 8, CLIO, ALABAMA",,Alabama,Barbour,Not in a city
1,7,1,32.904048,-87.233057,7/15/91,,11.8 KM SW OF CENTREVILLE ON CNTY RD 25.,35034,Alabama,Bibb,Centreville (Centerville)
1,9,1,33.95702,-86.464443,1/1/57,5/18/78,COUNTY HEALTH DEPT 1002 2ND AVE EAST,35121,Alabama,Blount,Oneonta
1,9,2,33.949542,-86.473042,1/1/79,12/31/97,5TH E & 4TH ST NORTH,,Alabama,Blount,Oneonta
1,15,1,33.656771,-85.824409,1/1/72,12/31/98,309 EAST 8TH STREET,,Alabama,Calhoun,Anniston
1,15,2,33.685659,-85.837744,5/3/74,12/31/85,BLUE MTN POST OFFICE,,Alabama,Calhoun,Anniston
1,21,1,32.83956,-86.637809,1/1/72,12/31/76,112 AUGUSTA STREET,35045,Alabama,Chilton,Clanton
1,21,2,32.83957,-86.628871,1/1/76,12/31/93,1ST AVE & 5TH AVE,,Alabama,Chilton,Clanton
1,23,1,32.209311,-88.051961,1/1/74,12/31/80,P.O. BOX 111,,Alabama,Choctaw,Not in a city
1,23,2,32.2057,-88.053628,1/1/81,1/1/87,P.O. BOX 183,,Alabama,Choctaw,Not in a City
1,25,1,31.966669,-87.782035,1/1/72,12/31/77,CLARKE STREET (GROVE HILL),36784,Alabama,Clarke,Not in a City
1,25,2,31.694265,-87.773463,1/1/74,12/31/77,GROVE HILL MEMORIAL HOSPITAL HWY 43,36451,Alabama,Clarke,Grove Hill
1,27,1,33.284928,-85.803608,3/25/91,,ASHLAND AIRPORT,36251,Alabama,Clay,Ashland
1,31,2,31.056847,-87.259142,1/1/75,12/31/97,UNKNOWN,,Alabama,Coffee,Enterprise
1,33,1,34.737034,-87.886701,1/1/73,12/31/97,2.3 MI W OF COLBERT POWER PLANT,,Alabama,Colbert,Not in a city
1,33,2,34.781787,-87.646127,1/1/73,12/31/76,0.7 MI WNW OF OACD,35661,Alabama,Colbert,Not in a City
1,33,3,34.770676,-87.646127,1/1/73,12/31/74,0.6 MI N OF OACD,35661,Alabama,Colbert,Not in a City
1,33,4,34.771231,-87.628348,1/1/73,12/31/76,1.2 MI NE OF OACD,35661,Alabama,Colbert,Muscle Shoals
1,33,5,34.762064,-87.64946,1/1/73,12/31/74,1.1 MI S OF OACD,35661,Alabama,Colbert,Not in a City
1,33,6,34.764009,-87.661683,1/1/73,12/31/74,1.3 MI SW OF OACD,35661,Alabama,Colbert,Not in a City
1,33,7,34.760089,-87.665029,1/1/73,12/31/97,1.5 MI SW OF OACD,,Alabama,Colbert,Not in a city
1,33,8,34.760922,-87.643085,1/1/73,12/31/97,1.2 MI S OF OACD,,Alabama,Colbert,Not in a city
1,33,9,34.783453,-87.651127,1/1/73,12/31/77,0.4 MI NW OF OACD,35661,Alabama,Colbert,Not in a City
